ra,dec,OBJECT_ID,parallax,parallax_error,phot_g_mean_mag
100.3254198644605,9.943279160089933,3326742858435795968,0.2370777774788145,0.054568984,14.895349
100.32068978049382,9.91189105431275,3326740590694019328,0.1116088433928294,0.4162853,19.503149
100.1864698860402,10.001554358285054,3326930423960062208,2.331064286288113,1.7883275,20.549904
100.22633579115184,10.021416843014611,3326930561390049792,0.3782971833912671,0.13712397,17.936552
100.22906334913006,10.021973569837373,3326932038867751296,1.8636885577802649,0.7281505,20.205935
100.31744976102596,9.977424998910797,3326743167671339904,2.2672862686564117,1.1574724,20.111835
100.20211521942755,10.013212636596716,3326930531326084224,0.0192918289299046,0.43662557,19.268578
100.21413366433178,10.018931443997229,3326930565687147008,0.6176899310537978,0.55865365,19.792416
100.16425407642112,9.971418419802443,3326929977276481536,0.7404189621923619,0.47513673,19.825325
100.21384058232567,10.018948416042896,3326930565685818880,0.2880883823868573,0.30684316,19.026157
100.20998523173958,10.01751401603146,3326930565685820544,0.8261199445034346,0.5183615,19.328209
100.20234361471044,10.014406110614358,3326930527037688832,0.644547133970346,0.415318,19.31046
100.19430483583244,10.00962431344117,3326930630109718784,0.2060976484137738,0.16454703,18.21683
100.1909747886165,10.007553912944443,3326930634406627456,0.4103329593181978,0.08893586,16.88063
100.23993903887678,10.024914315370884,3326931970139325824,0.7830624189070607,0.8344452,20.353868
100.29594337933588,9.874876543148192,3326740006575454080,0.8776677060508782,0.2622897,18.541367
100.25034776883383,10.02588580497359,3326932008796156288,0.1710967025387252,0.5330566,19.791462
100.32950713258526,9.93996956085656,3326742854139493376,0.2358142055132813,0.20489913,18.656126
100.2734058615481,10.021322710655268,3326931351664034944,0.6474876653169452,0.43484923,19.266016
100.29461006104242,10.010218039910855,3326931081081880960,0.4314531232656659,0.37630197,19.096172
100.15609835167776,9.95404886650165,3326929809771608064,0.8725351544564477,0.832827,20.294228
100.15543008495278,9.931383018097646,3326929019499472768,1.762632833810081,0.5470445,19.840027
100.15788112467663,9.964333507879278,3326929874201879424,0.7331719260854148,0.16324681,18.130972
100.209997751002,10.02155248511214,3326930561390052608,0.0780484620796462,0.28089422,19.005823
100.1591450153724,9.969102548989646,3326929977276527360,0.7717420923721786,0.33402807,19.294415
100.20706775370348,10.020424980094312,3326930767555080576,1.8144103679911885,0.89181226,20.333761
100.15484309336684,9.93137933692249,3326905547502160640,0.2522892381161,0.10429117,17.384724
100.33105276845568,9.942733430079649,3326742854139856000,0.0830978834111743,0.761649,20.126007
100.19974102119068,10.017412040014806,3326930733188741120,0.2443664043674721,0.08752462,17.072525
100.2148339937863,9.857606737413562,3326717221776057600,1.6851597583649451,0.45911676,19.593172
100.30240532700934,9.875329167260793,3326739800419650944,2.8376103826829837,0.69024473,13.981316
100.15532950257747,9.960565622960988,3326929878492391168,0.3820728550076915,0.09842001,17.225727
100.15477906837224,9.961757402569562,3326929878491082752,0.0311544369208142,0.85625017,20.496397
100.1522506878349,9.930769388422846,3326905551797629184,0.2020684748970409,0.12192247,17.669897
100.19902877734948,10.019450565869665,3326930733195637120,2.407762990568472,1.2193613,20.48555
100.15658323557876,9.911672666400078,3326905478787525504,0.145771379484174,0.9158494,20.344582
100.15909827234849,9.9032122068655,3326905238264899584,0.4435997854349678,0.49333182,19.665237
100.17731851243173,10.005303714806526,3326930595751555584,0.7529654320505429,0.4655176,19.513742
100.1811478783296,10.008962171038634,3326930630111533312,1.385890640180323,0.5257198,19.782795
100.15196939767424,9.922255587114565,3326905547502453760,0.9156380659320622,0.35690317,18.941256
100.16367575190786,9.98944163937676,3326930222089771520,0.2028644496590164,0.041708227,15.799874
100.1778078706526,10.007219365259555,3326930630111298176,0.5553770263885631,0.1615279,18.412388
100.16161647906804,9.986879705422364,3326930222088455040,0.5141907750882677,0.44215778,19.543074
100.3275808227522,9.902097599561245,3326740517677229056,2.589972159415184,0.85709435,20.191109
100.17060714161887,9.999882190007726,3326930595756674048,0.9215739433999296,0.8296659,20.337553
100.15596612456709,9.976379679413457,3326929977276485248,1.0749445475623738,0.6349108,19.82579
100.17972334287036,10.009831108303564,3326930630111534208,0.5305389627543902,0.58459777,19.702131
100.14830494831976,9.93575777279444,3326906303421220480,0.2272859371465208,0.8911367,20.189894
100.311926883442,9.87621212673946,3326740174081288960,1.2869094505752,0.48438698,19.639732
100.33675890292264,9.92349503570228,3326740552037320192,0.9935401932241084,0.3213597,19.207605
100.19952404177076,10.025523024568066,3326930733188741888,0.5527510182430507,0.8275101,20.307808
100.15774132236776,9.986835058894004,3326930217799548032,0.1938233235157154,0.7168475,20.25224
100.2312683996688,10.035901805526969,3326932038858892160,0.8181363227305811,0.6033177,19.758846
100.1514429578406,9.907535984558049,3326905444427772672,2.3639806057837127,1.1735464,20.406252
100.22147202193896,9.847249536080795,3326717157349479040,0.9727270698215223,0.21793859,18.553394
