_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
100.28427300	+09.83792300	100.284273	+09.837923	06410822+0950165	17.317		16.119	0.175	15.214	0.152	UCC	22	11	000	0	0
100.28036500	+09.83239500	100.280365	+09.832395	06410728+0949566	13.653	0.026	12.983	0.026	12.756	0.030	AAA	222	111	000	0	0
100.27870300	+09.84836200	100.278703	+09.848362	06410688+0950541	15.847	0.077	15.102	0.067	14.678	0.106	AAB	222	111	000	0	0
100.30543700	+09.86512200	100.305437	+09.865122	06411330+0951544	13.996	0.033	13.334	0.029	13.075	0.036	AAA	222	111	000	0	0
100.29461000	+09.84970700	100.294610	+09.849707	06411070+0950589	16.008	0.090	14.654	0.049	14.096	0.061	AAA	222	111	000	0	0
100.28952800	+09.86390500	100.289528	+09.863905	06410948+0951500	12.338	0.023	11.634	0.026	11.407	0.027	AAA	222	111	000	0	0
100.31728100	+09.86403400	100.317281	+09.864034	06411614+0951505	15.176	0.056	13.754	0.030	13.065	0.032	AAA	222	111	000	0	0
100.31288100	+09.85497800	100.312881	+09.854978	06411509+0951179	15.487	0.067	15.047	0.072	15.016	0.147	AAB	222	111	000	0	0
100.31984100	+09.86330600	100.319841	+09.863306	06411676+0951479	16.439	0.152	16.432	0.242	15.199	0.174	BDC	222	111	000	0	0
100.32064800	+09.85624200	100.320648	+09.856242	06411695+0951224	16.810	0.199	15.255	0.078	14.461	0.085	CAA	222	111	000	0	0
100.32664200	+09.85903500	100.326642	+09.859035	06411839+0951325	15.035	0.051	13.482	0.032	12.810	0.026	AAA	222	111	000	0	0
100.30240700	+09.87533000	100.302407	+09.875330	06411257+0952311	11.494	0.026	10.686	0.026	10.205	0.026	AAA	222	111	000	0	0
100.24931000	+09.86359000	100.249310	+09.863590	06405983+0951489	13.458	0.024	12.777	0.027	12.612	0.034	AAA	222	111	000	0	0
100.24962800	+09.86071500	100.249628	+09.860715	06405991+0951385	18.139		15.677	0.124	14.871	0.130	UBB	22	11	000	0	0
100.24636100	+09.86472300	100.246361	+09.864723	06405912+0951530	14.686	0.030	14.170	0.039	13.851	0.051	AAA	222	111	000	0	0
100.24452200	+09.85543400	100.244522	+09.855434	06405868+0951195	16.745	0.180	16.225	0.206	15.463	0.195	CCD	222	111	p00	0	0
100.27125000	+09.86238500	100.271250	+09.862385	06410510+0951445	12.744	0.023	12.128	0.026	11.979	0.025	AAA	222	111	000	0	0
