_RAJ2000 _DEJ2000 2MASS Jmag Hmag Kmag
100.291759 9.979893 06411002+0958476 17.148 15.283 14.625
100.310613 9.967756 06411454+0958039 17.148 15.937 15.607
100.303165 9.9635 06411275+0957486 16.551 15.87 15.448
100.30159 9.971072 06411238+0958158 16.278 14.777 13.979
100.314827 9.962934 06411555+0957465 15.73 14.955 14.569
100.317465 9.977417 06411619+0958387 16.57 15.56 15.232
100.331428 9.982912 06411954+0958584 16.332 14.874 14.276
100.325905 9.999215 06411821+0959571 17.194 15.851 15.639
100.327769 9.999398 06411866+0959578 16.987 16.187 15.685
100.329803 9.996004 06411915+0959456 15.405 14.541 14.055
100.313411 9.985317 06411521+0959071 16.598 15.82 15.391
100.335075 9.998671 06412041+0959552 14.305 13.584 13.226
100.314397 9.994237 06411545+0959392 17.699 15.031 UUC
100.320462 9.987743 06411691+0959158 13.693 13.035 12.825
100.344227 9.988615 06412261+0959190 16.731 15.744 15.237
100.346876 9.989818 06412325+0959233 14.707 14.041 13.643
100.33071 10.013343 06411937+1000480 14.425 13.576 13.181
100.337396 10.005407 06412097+1000194 15.096 14.548 14.289
100.333204 10.011748 06411996+1000422 15.579 14.591 14.113
100.152745 9.867564 06403665+0952032 12.733 11.759 11.101
100.155041 9.886186 06403720+0953102 14.061 13.018 12.385
100.165605 9.879721 06403974+0952469 16.076 14.457 13.699
100.161267 9.887127 06403870+0953136 16.267 14.874 14.235
100.143932 9.888824 06403454+0953197 15.363 13.883 13.201
100.184225 9.902312 06404421+0954083 16.58 15.952 15.467
100.177201 9.902591 06404252+0954093 15.198 14.583 14.171
100.177856 9.901458 06404268+0954052 15.665 15.096 14.635
100.171411 9.882367 06404113+0952565 12.533 11.774 11.250
100.175547 9.913374 06404213+0954481 15.849 14.809 14.398
100.181722 9.897047 06404361+0953493 14.222 13.485 13.075
100.184337 9.89427 06404424+0953393 13.786 13.103 12.855
100.177595 9.896588 06404262+0953477 13.506 12.83 12.691
100.171859 9.908575 06404124+0954308 12.886 11.762 11.330
100.170519 9.903003 06404092+0954108 14.82 14.09 13.724
100.172338 9.90385 06404136+0954138 11.64 10.951 10.427
100.159096 9.90323 06403818+0954116 15.45 14.368 13.777
100.136185 9.895788 06403268+0953448 17.385 0.137 0.086
100.145386 9.901996 06403489+0954071 13.74 13.051 12.813
100.141077 9.898224 06403385+0953536 16.408 0.134 0.181
100.143564 9.898162 06403445+0953533 13.162 12.228 11.701
100.142786 9.898926 06403426+0953561 13.449 12.56 12.083
100.144256 9.908001 06403462+0954288 17.661 0.24 0.150
100.151433 9.907545 06403634+0954271 16.595 14.921 13.647
100.168375 9.914262 06404041+0954513 15.782 14.672 14.275
100.151929 9.922261 06403646+0955201 15.724 14.888 14.603
100.169314 9.913581 06404063+0954488 15.357 14.453 14.147
100.156094 9.922578 06403746+0955212 13.532 12.811 12.655
100.152254 9.930756 06403654+0955507 15.02 14.524 14.304
100.154855 9.931375 06403716+0955529 14.611 14.116 13.830
100.156222 9.916072 06403749+0954578 10.53 10.216 10.139
100.157224 9.906544 06403773+0954235 16.955 0.141 0.175
100.15652 9.91168 06403756+0954420 16.665 15.768 15.209
100.129135 9.919214 06403099+0955091 16.407 0.122 0.139
100.133975 9.930969 06403215+0955514 16.411 15.624 15.668
100.138673 9.927005 06403328+0955372 13.284 12.056 11.551
100.148313 9.935767 06403559+0956087 16.768 15.653 15.281
100.132101 9.939377 06403170+0956217 16.662 15.419 14.918
100.141932 9.942507 06403406+0956330 15.209 14.457 14.143
100.142919 9.939696 06403430+0956229 15.202 14.783 14.194
100.125458 9.954747 06403010+0957170 16.521 15.349 14.878
100.184848 9.922031 06404436+0955193 13.779 12.551 12.091
100.183052 9.921356 06404393+0955168 14.249 12.941 12.469
100.215946 9.915769 06405182+0954567 16.259 14.963 14.393
100.204683 9.920276 06404912+0955129 14.135 13.309 12.927
100.197361 9.910017 06404736+0954360 16.536 15.786 15.271
100.198899 9.901662 06404773+0954059 15.989 15.102 14.719
100.194692 9.906855 06404672+0954246 12.215 11.513 11.286
100.19559 9.917694 06404694+0955036 13.34 12.604 12.224
100.188463 9.921699 06404523+0955181 16.505 15.485 15.048
100.200436 9.926923 06404810+0955369 14.702 14.121 13.709
100.205291 9.911968 06404926+0954430 14.743 14.126 13.875
100.210806 9.91593 06405059+0954573 12.466 11.688 11.276
100.207557 9.918879 06404981+0955079 15.868 14.912 14.398
100.230764 9.937337 06405538+0956144 16.613 15.719 15.191
100.227146 9.93572 06405451+0956085 11.625 10.169 9.541
100.225821 9.931103 06405419+0955519 13.695 12.936 12.757
100.226055 9.926159 06405425+0955341 14.861 14.158 13.755
100.213442 9.923155 06405122+0955233 16.142 15.008 14.692
100.211927 9.931408 06405086+0955530 12.863 12.187 11.969
100.210323 9.925221 06405047+0955307 15.707 14.911 14.561
100.217481 9.945367 06405219+0956433 14.156 13.385 13.236
100.218364 9.943497 06405240+0956365 15.413 14.239 13.878
100.220281 9.949064 06405286+0956566 16.937 15.974 15.369
100.211451 9.945069 06405074+0956422 16.27 15.093 14.540
100.225806 9.938039 06405419+0956169 15.381 14.788 14.299
100.184708 9.93049 06404432+0955497 16.21 15.705 15.225
100.186267 9.931668 06404470+0955540 15.034 14.252 13.985
100.180398 9.922094 06404329+0955195 14.892 14.261 13.975
100.176938 9.921468 06404246+0955172 14.807 14.086 13.935
100.179162 9.925236 06404299+0955308 16.423 15.687 15.521
100.185118 9.927723 06404442+0955398 14.817 14.259 13.998
100.174326 9.925848 06404183+0955330 14.027 12.447 11.740
100.171549 9.932573 06404117+0955572 16.844 15.558 14.962
100.173772 9.931137 06404170+0955520 16.27 15.042 14.805
100.173176 9.921504 06404156+0955174 13.349 12.878 12.758
100.165472 9.932065 06403971+0955554 16.91 15.895 14.798
100.160064 9.934516 06403841+0956042 16.966 15.914 15.268
100.178257 9.940516 06404278+0956258 16.448 15.539 14.996
100.175553 9.950029 06404213+0957001 15.705 15.007 14.698
100.171392 9.948042 06404113+0956529 15.744 15.3 15.063
100.172092 9.9521 06404130+0957075 15.532 14.747 14.299
100.18688 9.962293 06404485+0957442 12.262 11.566 11.423
100.186702 9.946621 06404480+0956478 16.166 15.46 15.114
100.182537 9.958314 06404380+0957299 15.404 14.676 14.538
100.19538 9.965547 06404689+0957559 15.839 15.175 15.175
100.196424 9.961864 06404714+0957427 12.923 11.917 11.531
100.195091 9.951542 06404682+0957055 14.867 14.351 14.086
100.205051 9.960768 06404921+0957387 13.574 12.738 12.369
100.204343 9.962521 06404904+0957450 13.064 12.008 11.615
100.199536 9.94687 06404788+0956487 15.919 15.145 14.722
100.198678 9.955064 06404768+0957182 14.97 14.259 14.132
100.20679 9.948102 06404962+0956531 13.486 12.981 12.819
100.208918 9.951107 06405014+0957039 13.823 13.077 12.843
100.211095 9.952755 06405066+0957099 15.538 14.999 14.698
100.194804 9.9476 06404675+0956513 15.729 14.856 14.658
100.196902 9.966428 06404725+0957591 16.408 15.698 15.714
100.237814 9.945168 06405707+0956426 14.723 14.113 13.806
100.245115 9.967156 06405882+0958017 16.569 15.674 15.271
100.247453 9.959901 06405938+0957356 14.746 14.046 13.780
100.239746 9.937954 06405753+0956166 15.726 15.07 14.980
100.239813 9.951084 06405755+0957039 16.108 15.256 14.973
100.24062 9.971198 06405774+0958163 15.438 14.44 13.969
100.245039 9.948212 06405880+0956535 14.8 14.167 13.703
100.247916 9.961401 06405949+0957410 14.876 13.89 13.478
100.240964 9.94164 06405783+0956299 11.978 11.457 11.320
100.239931 9.970193 06405758+0958126 14.059 13.296 12.823
100.232588 9.957731 06405582+0957278 15.22 14.502 14.250
100.232204 9.952131 06405572+0957076 14.749 14.052 13.809
100.228772 9.952559 06405490+0957092 15.011 14.352 14.006
100.234996 9.952323 06405639+0957083 16.512 15.516 15.118
100.25571 9.952228 06410137+0957080 16.546 15.874 15.211
100.246523 9.969612 06405916+0958106 16.525 15.43 14.732
100.251328 9.962959 06410031+0957466 16.989 16.095 15.453
100.266403 9.969294 06410393+0958094 12.99 12.314 12.064
100.263667 9.965272 06410328+0957549 13.053 12.377 12.239
100.257032 9.984411 06410168+0959038 15.004 14.375 14.254
100.256902 9.980475 06410165+0958497 17.042 16.236 15.548
100.259231 9.973348 06410221+0958240 15.839 14.587 13.989
100.257838 9.973642 06410188+0958251 16.549 15.477 14.717
100.260722 9.957417 06410257+0957267 16.666 0.043 0.033
100.2713 9.97948 06410511+0958461 16.012 15.187 14.731
100.251055 9.980456 06410025+0958496 11.846 11.361 11.198
100.215081 9.971991 06405161+0958191 15.895 14.9 14.738
100.215775 9.973366 06405178+0958241 16.436 15.401 14.936
100.223633 9.966681 06405367+0958000 13.814 13.078 12.860
100.205511 9.980949 06404932+0958514 15.241 14.486 14.270
