OBJECT_ID,2MASS,_RAJ2000,_DEJ2000,Jmag,Hmag,Kmag
3326929702396781568,06405417+0959178,100.225736,9.988287,14.483,13.738,13.351
3326928847700236928,06405419+0955519,100.225821,9.931103,13.695,12.936,12.757
3326928847698916992,06405419+0956169,100.225806,9.938039,15.381,14.788,14.299
3326717157351517696,06405423+0950538,100.225966,9.848278,12.562,11.91,11.717
3326928809043598080,06405425+0955341,100.226055,9.926159,14.861,14.158,13.755
3326930561390049792,06405432+1001170,100.226366,10.0214,15.654,14.857,14.678
3326932279376979072,06405433+1003070,100.226398,10.051959,16.646,15.808,16.065
3326740964355273216,06405439+0953292,100.226643,9.891445,15.494,14.841,14.658
3326930496968220672,06405441+1000498,100.22671,10.013842,15.637,15.026,14.846
3326928847700236288,06405451+0956085,100.227146,9.93572,11.625,10.169,9.541
3326932043155894912,06405455+1001507,100.227296,10.030756,10.866,9.983,9.598
3326929706693690752,06405459+0958586,100.227493,9.982964,15.32,14.06,13.646
3326930496967670912,06405459+1000079,100.227487,10.002212,16.11,15.342,14.867
3326740723837102208,06405463+0952252,100.227625,9.873687,15.673,14.528,13.926
3326740964355272704,06405486+0953207,100.228609,9.889098,15.252,14.55,14.529
3326740723837104000,06405488+0953123,100.228676,9.88677,13.918,13.086,12.397
3326716401437823488,06405490+0950123,100.228769,9.836754,14.011,13.42,13.210
3326929294376833152,06405490+0957092,100.228772,9.952559,15.011,14.352,14.006
3326717191709210752,06405502+0951252,100.229253,9.85702,15.775,14.58,13.925
3326716397142282240,06405517+0950498,100.229913,9.847176,13.074,12.424,12.230
3326741136153966848,06405523+0955138,100.230164,9.920506,15.051,14.455,14.275
3326932279377062016,06405530+1003199,100.230435,10.05554,16.854,16.494,15.554
3326740728132033024,06405535+0952159,100.230651,9.87109,14.165,13.583,13.249
3326932038858892160,06405550+1002093,100.231288,10.035931,16.679,15.621,15.146
3326740659410510976,06405561+0952125,100.231747,9.870156,15.056,14.488,14.218
3326717191711253632,06405571+0951138,100.232154,9.853848,12.872,12.197,12.012
3326929290079933184,06405572+0957076,100.232204,9.952131,14.749,14.052,13.809
3326929294376832384,06405582+0957278,100.232588,9.957731,15.22,14.502,14.250
3326717191711252608,06405586+0951304,100.232791,9.858468,13.862,13.154,12.924
3326740964359745920,06405590+0953534,100.232939,9.898173,13.425,12.672,12.456
3326929637974213248,06405590+0958522,100.232928,9.98119,16.483,15.247,15.112
3326931970139322496,06405601+1001060,100.233401,10.018334,14.785,14.031,13.748
3326930492677173760,06405618+1000295,100.234123,10.008212,16.605,15.579,15.666
3326932382456195328,06405636+1003168,100.234847,10.054673,16.08,15.533,15.110
3326929290086328576,06405639+0957083,100.234996,9.952323,16.512,15.516,15.118
3326741071729412992,06405650+0954104,100.235446,9.902895,10.783,10.306,10.206
3326932073218547328,06405667+1002397,100.236165,10.044365,16.475,15.748,15.295
3326929633677303936,06405671+0958331,100.236319,9.975887,15.556,14.88,14.624
3326716431502020736,06405680+0950561,100.236671,9.848923,15.153,14.568,14.144
3326740655117624448,06405683+0951566,100.236831,9.865734,14.022,13.302,13.010
3326932073218547200,06405695+1002337,100.23733,10.042701,14.7,14.069,13.822
3326741071729412352,06405698+0954198,100.237439,9.905504,14.506,13.941,13.590
3326741067438968704,06405698+0954198,100.237439,9.905504,14.506,13.941,13.590
3326932073218546816,06405701+1002281,100.237575,10.041148,15.968,15.308,15.319
3326716431506551552,06405702+0950338,100.237607,9.842743,16.216,14.784,14.253
3326929221360454912,06405707+0956426,100.237814,9.945168,14.723,14.113,13.806
3326741101794228352,06405748+0954573,100.239506,9.915929,14.82,14.264,14.039
3326929221360458752,06405753+0956166,100.239746,9.937954,15.726,15.07,14.980
3326741170513705344,06405754+0955328,100.239751,9.925801,14.603,13.584,13.077
3326929221360456192,06405755+0957039,100.239813,9.951084,16.108,15.256,14.973
3326929324439658112,06405758+0958126,100.239931,9.970193,14.059,13.296,12.823
3326932382456194432,06405763+1003094,100.240131,10.052637,15.562,15.203,15.043
3326929324446067328,06405774+0958163,100.24062,9.971198,15.438,14.44,13.969
3326929225657356288,06405783+0956299,100.240964,9.94164,11.978,11.457,11.320
3326931214225080576,06405783+1000360,100.240989,10.010018,16.196,15.443,15.179
3326716435797008256,06405784+0951089,100.241018,9.852487,13.149,12.299,11.935
3326932077514296832,06405798+1002163,100.241584,10.037865,15.216,14.746,14.274
3326741067438961664,06405801+0953592,100.24172,9.899787,11.823,0.041,0.035
3326716435797007744,06405810+0951134,100.242106,9.853742,13.869,13.197,12.938
3326740689477364736,06405813+0952354,100.242244,9.876518,15.065,14.365,14.283
3326932382456195200,06405814+1003154,100.242269,10.054304,14.956,14.179,13.868
3326741174808624256,06405820+0955445,100.242518,9.929043,13.464,12.765,12.527
3326740689477364864,06405822+0952309,100.242614,9.875265,16.391,15.778,15.047
3326931970145923840,06405838+1000544,100.243268,10.015129,16.769,15.976,15.128
3326932386753276544,06405849+1003249,100.243725,10.056943,14.074,13.392,13.027
3326932004499068416,06405863+1001567,100.244312,10.032431,15.934,15.457,15.026
3326740865570982400,06405866+0953447,100.244429,9.895751,5.202,5.322,5.340
3326932176297763200,06405873+1003001,100.244715,10.050029,16.622,16.173,14.910
3326716332715757184,06405875+0949493,100.244832,9.830368,16.653,15.916,15.322
3326929221360458880,06405880+0956535,100.245039,9.948212,14.8,14.167,13.703
3326929324446067584,06405882+0958017,100.245115,9.967156,16.569,15.674,15.271
3326741067438968832,06405886+0954215,100.245281,9.905993,14.916,14.366,14.232
3326740865570981632,06405893+0954008,100.245575,9.900236,10.111,10.044,9.950
3326739903498311424,06405912+0951530,100.246361,9.864723,14.686,14.17,13.851
3326741067438969088,06405919+0954145,100.24666,9.90404,13.955,13.302,13.109
3326740758201316608,06405923+0953078,100.246798,9.885526,12.354,11.678,11.453
3326741101798707584,06405934+0955201,100.247272,9.922276,10.653,10.064,9.701
3326929255720180352,06405938+0957356,100.247453,9.959901,14.746,14.046,13.780
3326929672332619136,06405944+0959454,100.247705,9.995965,12.781,12.093,11.685
3326929672333948544,06405944+0959454,100.247705,9.995965,12.781,12.093,11.685
3326929328736569088,06405949+0957410,100.247916,9.961401,14.876,13.89,13.478
3326740861280539136,06405974+0954063,100.248941,9.901754,12.951,12.278,12.100
3326932004499068928,06405978+1002126,100.249121,10.036842,14.66,13.816,13.502
3326739899203380096,06405983+0951489,100.24931,9.86359,13.458,12.777,12.612
3326716122264063232,06405987+0949329,100.249467,9.825809,14.527,13.954,13.698
3326740693772293248,06410003+0952178,100.250139,9.871637,9.998,10.001,9.943
3326932008796156288,06410008+1001333,100.250343,10.025942,16.195,15.044,14.661
3326929427518677504,06410025+0958496,100.251055,9.980456,11.846,11.361,11.198
3326740693773246848,06410026+0952150,100.251095,9.870848,11.019,0.046,0.043
3326740861280532224,06410035+0953532,100.251459,9.898128,13.885,13.168,12.945
3326932176297762944,06410037+1002564,100.251553,10.049001,14.962,14.331,14.109
3326740861280539264,06410040+0954100,100.251676,9.902792,16.112,15.329,14.670
3326740865570980864,06410043+0954035,100.251797,9.900984,12.99,12.331,12.120
3326932176297764608,06410054+1003133,100.252287,10.053695,14.693,14.066,13.762
3326932008794819456,06410060+1001551,100.252532,10.031984,15.222,14.319,14.183
3326932111875370368,06410065+1002144,100.252738,10.037353,14.581,13.993,13.841
3326739903498311808,06410077+0951223,100.253245,9.856203,12.191,11.596,11.404
3326739903496265344,06410077+0951223,100.253245,9.856203,12.191,11.596,11.404
3326739937858049024,06410080+0952075,100.253373,9.868767,14.031,13.119,12.632
3326929260015767808,06410137+0957080,100.25571,9.952228,16.546,15.874,15.211
3326931218521066496,06410153+1000365,100.256381,10.010159,12.848,12.197,12.052
3326929461878418304,06410168+0959038,100.257032,9.984411,15.004,14.375,14.254
3326741484046267776,06410172+0955514,100.257207,9.930948,13.279,12.537,12.299
